customer_sk,customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,churn_flag,Complain,Satisfaction Score,Card Type,Point Earned,age_group,credit_tier,tenure_band,high_value_flag,estimated_ltv,churn_label,balance_salary_ratio,product_engagement,risk_score,risk_category,effective_start_date,effective_end_date,is_current,record_version
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249,Under 25,Poor,Growing (3-5 yrs),N,229.17,Active,0.0,3,3,Medium Risk,2026-04-19,9999-12-31,1,1
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119,25-35,Poor,Loyal (9-10 yrs),N,262.61,Active,0.0,3,3,Medium Risk,2026-04-19,9999-12-31,1,1
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549,Under 25,Poor,Growing (3-5 yrs),N,954.29,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318,25-35,Fair,Mature (6-8 yrs),N,461.66,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308,36-50,Fair,Growing (3-5 yrs),Y,3055.57,Active,2.225,4,1,Low Risk,2026-04-19,9999-12-31,1,1
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163,51-65,Fair,New (0-2 yrs),Y,2657.16,Churned,26.0124,2,7,Critical Risk,2026-04-19,9999-12-31,1,1
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544,Under 25,Poor,Loyal (9-10 yrs),N,129.66,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732,36-50,Fair,Mature (6-8 yrs),N,952.11,Active,0.0,1,3,Medium Risk,2026-04-19,9999-12-31,1,1
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477,Under 25,Good,Mature (6-8 yrs),N,328.34,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
21,15577657,Mcdonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568,36-50,Good,Mature (6-8 yrs),N,1367.09,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336,25-35,Fair,Mature (6-8 yrs),N,1108.44,Active,0.0,3,3,Medium Risk,2026-04-19,9999-12-31,1,1
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887,36-50,Poor,Growing (3-5 yrs),N,475.65,Churned,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665,36-50,Fair,Growing (3-5 yrs),N,25.46,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225,36-50,Excellent,Growing (3-5 yrs),N,938.08,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659,Under 25,Poor,Growing (3-5 yrs),N,373.52,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236,36-50,Very Good,New (0-2 yrs),Y,3076.4,Active,0.8046,4,2,Low Risk,2026-04-19,9999-12-31,1,1
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448,36-50,Poor,Loyal (9-10 yrs),N,345.9,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
29,15728693,Mcwilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499,36-50,Poor,Growing (3-5 yrs),Y,3127.55,Active,1.4108,4,1,Low Risk,2026-04-19,9999-12-31,1,1
30,15656300,Lucciano,432,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343,25-35,Poor,,N,1193.94,Active,1.1162,5,1,Low Risk,2026-04-19,9999-12-31,1,1
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298,36-50,Fair,Growing (3-5 yrs),N,421.41,Churned,0.0,4,6,High Risk,2026-04-19,9999-12-31,1,1
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628,36-50,Poor,Mature (6-8 yrs),N,2803.36,Active,0.5443,3,0,Low Risk,2026-04-19,9999-12-31,1,1
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611,36-50,Poor,Loyal (9-10 yrs),Y,2939.34,Active,1.3445,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922,36-50,Poor,Mature (6-8 yrs),N,206.46,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276,25-35,Good,Loyal (9-10 yrs),N,1278.3,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877,36-50,Poor,,Y,2685.28,Churned,4.8257,2,5,High Risk,2026-04-19,9999-12-31,1,1
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471,25-35,Poor,Growing (3-5 yrs),Y,3247.4,Active,1.2735,3,1,Low Risk,2026-04-19,9999-12-31,1,1
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994,25-35,Excellent,Mature (6-8 yrs),N,2220.15,Active,0.7775,3,0,Low Risk,2026-04-19,9999-12-31,1,1
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944,36-50,Excellent,Mature (6-8 yrs),N,285.69,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0,5,GOLD,419,36-50,Fair,Mature (6-8 yrs),N,2475.43,Active,0.3951,4,0,Low Risk,2026-04-19,9999-12-31,1,1
41,15619360,Hsiao,472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0,4,DIAMOND,545,36-50,Poor,Growing (3-5 yrs),N,280.62,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,1,5,SILVER,828,51-65,Poor,Mature (6-8 yrs),Y,3900.83,Churned,0.6758,1,6,High Risk,2026-04-19,9999-12-31,1,1
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,0,3,PLATINUM,789,51-65,Poor,New (0-2 yrs),Y,2536.69,Active,1.2471,4,4,Medium Risk,2026-04-19,9999-12-31,1,1
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,1,2,GOLD,567,36-50,Excellent,New (0-2 yrs),Y,3016.62,Churned,0.676,1,5,High Risk,2026-04-19,9999-12-31,1,1
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0,1,PLATINUM,884,51-65,Fair,Growing (3-5 yrs),Y,3910.31,Active,0.9848,4,3,Medium Risk,2026-04-19,9999-12-31,1,1
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0,1,SILVER,296,25-35,Very Good,Growing (3-5 yrs),Y,2694.49,Active,0.8649,5,1,Low Risk,2026-04-19,9999-12-31,1,1
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,1,3,DIAMOND,779,25-35,Excellent,Loyal (9-10 yrs),Y,3318.29,Churned,0.936,4,1,Low Risk,2026-04-19,9999-12-31,1,1
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1,1,SILVER,730,36-50,Fair,Loyal (9-10 yrs),Y,3815.48,Churned,1.1719,4,1,Low Risk,2026-04-19,9999-12-31,1,1
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,0,3,DIAMOND,960,36-50,Poor,New (0-2 yrs),Y,2249.58,Active,1.1377,3,2,Low Risk,2026-04-19,9999-12-31,1,1
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0,1,SILVER,268,36-50,Very Good,New (0-2 yrs),Y,2463.58,Active,0.5346,3,5,High Risk,2026-04-19,9999-12-31,1,1
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0,4,SILVER,829,36-50,Good,Loyal (9-10 yrs),Y,4307.86,Active,0.5875,3,4,Medium Risk,2026-04-19,9999-12-31,1,1
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,0,3,SILVER,665,36-50,Fair,Growing (3-5 yrs),Y,3353.14,Active,1.6899,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
53,15683553,O'Brien,788,France,Female,33,5,0.0,2,0,0,116978.19,0,0,3,GOLD,982,25-35,Very Good,Growing (3-5 yrs),N,584.89,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,1,3,SILVER,343,36-50,Fair,Mature (6-8 yrs),Y,3823.57,Churned,0.7654,1,4,Medium Risk,2026-04-19,9999-12-31,1,1
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,1,2,DIAMOND,225,36-50,Fair,New (0-2 yrs),N,2009.93,Churned,2.4615,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,0,5,SILVER,657,36-50,Fair,New (0-2 yrs),Y,2617.65,Active,1.1041,4,2,Low Risk,2026-04-19,9999-12-31,1,1
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,0,2,PLATINUM,221,36-50,Fair,Growing (3-5 yrs),Y,2992.83,Active,1.4679,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,0,2,PLATINUM,406,Under 25,Good,,N,1517.76,Active,1.6637,1,4,Medium Risk,2026-04-19,9999-12-31,1,1
59,15623944,T'Ien,511,Spain,Female,66,4,0.0,1,1,0,1842.8253000000004,1,1,5,SILVER,549,65+,Poor,Growing (3-5 yrs),N,7.37,Churned,0.0,2,5,High Risk,2026-04-19,9999-12-31,1,1
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0,4,PLATINUM,954,51-65,Fair,Growing (3-5 yrs),N,1000.82,Active,0.8698,4,2,Low Risk,2026-04-19,9999-12-31,1,1
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,0,4,GOLD,823,25-35,Very Good,Growing (3-5 yrs),Y,3159.69,Active,1.6194,1,4,Medium Risk,2026-04-19,9999-12-31,1,1
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,0,5,DIAMOND,769,25-35,Good,Loyal (9-10 yrs),Y,4185.03,Active,1.2042,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0,5,PLATINUM,481,25-35,Poor,New (0-2 yrs),N,1300.49,Active,0.3137,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0,4,SILVER,903,51-65,Good,Mature (6-8 yrs),N,2369.33,Active,0.7918,4,2,Low Risk,2026-04-19,9999-12-31,1,1
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,0,3,PLATINUM,882,25-35,Fair,Growing (3-5 yrs),Y,2554.69,Active,1.1758,4,1,Low Risk,2026-04-19,9999-12-31,1,1
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,1,5,GOLD,379,36-50,Very Good,Mature (6-8 yrs),Y,3563.18,Active,6.1182,5,1,Low Risk,2026-04-19,9999-12-31,1,1
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,1,3,PLATINUM,469,25-35,Fair,New (0-2 yrs),Y,2143.09,Active,0.9203,2,5,High Risk,2026-04-19,9999-12-31,1,1
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,1,3,PLATINUM,683,36-50,Good,Loyal (9-10 yrs),Y,4430.33,Active,0.6263,5,1,Low Risk,2026-04-19,9999-12-31,1,1
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1,1,GOLD,770,25-35,Fair,Growing (3-5 yrs),Y,3582.79,Active,1.3261,4,1,Low Risk,2026-04-19,9999-12-31,1,1
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203.0,0,0,5,SILVER,985,Under 25,Good,Mature (6-8 yrs),N,2113.09,Active,5.4042,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,1,4,GOLD,725,51-65,Good,New (0-2 yrs),Y,2731.66,Churned,4.7137,5,10,Critical Risk,2026-04-19,9999-12-31,1,1
72,15620344,Mckee,813,France,Male,29,6,0.0,1,1,0,33953.87,0,0,3,PLATINUM,259,25-35,Excellent,Mature (6-8 yrs),N,203.72,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,0,2,GOLD,979,36-50,Fair,,Y,3272.14,Active,3.7012,3,2,Low Risk,2026-04-19,9999-12-31,1,1
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,0,2,SILVER,988,Under 25,Fair,Growing (3-5 yrs),Y,3447.75,Active,2.7005,5,1,Low Risk,2026-04-19,9999-12-31,1,1
75,15770811,Wallace,519,France,Male,36,9,0.0,2,0,1,145562.4,0,0,2,PLATINUM,833,36-50,Poor,Loyal (9-10 yrs),N,1310.06,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388.0,0,0,1,PLATINUM,527,Under 25,Good,New (0-2 yrs),Y,3596.75,Active,7.9828,3,5,High Risk,2026-04-19,9999-12-31,1,1
77,15614049,Hu,664,France,Male,55,8,0.0,2,1,1,139161.64,0,0,5,SILVER,220,51-65,Fair,Mature (6-8 yrs),N,1113.29,Active,0.0,5,2,Low Risk,2026-04-19,9999-12-31,1,1
78,15662085,Read,678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983,25-35,Good,Loyal (9-10 yrs),N,1333.9,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0,3,SILVER,582,25-35,Very Good,Growing (3-5 yrs),N,2516.26,Active,0.3977,3,0,Low Risk,2026-04-19,9999-12-31,1,1
80,15803136,Postle,432,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,0,3,SILVER,281,36-50,Poor,Loyal (9-10 yrs),Y,3426.81,Active,1.243,3,4,Medium Risk,2026-04-19,9999-12-31,1,1
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0,3,DIAMOND,798,25-35,Fair,New (0-2 yrs),N,2104.32,Active,0.5638,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
82,15663706,Leonard,777,France,Female,32,2,0.0,1,1,0,136458.19,1,1,5,SILVER,917,25-35,Very Good,New (0-2 yrs),N,272.92,Churned,0.0,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
83,15641732,Mills,543,France,Female,36,3,0.0,2,0,0,26019.59,0,0,2,DIAMOND,255,36-50,Poor,Growing (3-5 yrs),N,78.06,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0,4,SILVER,511,25-35,Poor,Growing (3-5 yrs),N,2443.09,Active,0.5671,4,0,Low Risk,2026-04-19,9999-12-31,1,1
85,15738751,Beit,493,France,Female,46,4,0.0,2,1,0,1907.66,0,0,1,SILVER,498,36-50,Poor,Growing (3-5 yrs),N,7.63,Active,0.0,3,3,Medium Risk,2026-04-19,9999-12-31,1,1
86,15805254,Ndukaku,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,0,5,DIAMOND,651,65+,Fair,Loyal (9-10 yrs),N,1146.76,Active,0.0,5,2,Low Risk,2026-04-19,9999-12-31,1,1
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,1,2,SILVER,852,Under 25,Very Good,Growing (3-5 yrs),Y,2819.57,Churned,0.9459,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
88,15625759,Rowley,729,France,Male,30,9,0.0,2,1,0,151869.35,0,0,1,DIAMOND,807,25-35,Good,Loyal (9-10 yrs),N,1366.82,Active,0.0,3,3,Medium Risk,2026-04-19,9999-12-31,1,1
89,15622897,Sharpe,646,France,Female,46,4,0.0,3,1,0,93251.42,1,1,3,PLATINUM,470,36-50,Fair,Growing (3-5 yrs),N,373.01,Churned,0.0,4,6,High Risk,2026-04-19,9999-12-31,1,1
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0,1,DIAMOND,659,25-35,Fair,Growing (3-5 yrs),N,2102.85,Active,0.5206,5,0,Low Risk,2026-04-19,9999-12-31,1,1
91,15757535,Heap,647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,1,3,DIAMOND,752,36-50,Fair,Growing (3-5 yrs),N,871.03,Churned,0.0,6,3,Medium Risk,2026-04-19,9999-12-31,1,1
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0,1,SILVER,559,36-50,Excellent,Mature (6-8 yrs),Y,3402.46,Active,0.8063,3,4,Medium Risk,2026-04-19,9999-12-31,1,1
93,15809248,Cole,524,France,Female,36,10,0.0,2,1,0,109614.57,0,0,2,GOLD,375,36-50,Poor,Loyal (9-10 yrs),N,1096.15,Active,0.0,3,3,Medium Risk,2026-04-19,9999-12-31,1,1
94,15640635,Capon,769,France,Male,29,8,0.0,2,1,1,172290.61,0,0,2,DIAMOND,411,25-35,Very Good,Mature (6-8 yrs),N,1378.32,Active,0.0,5,0,Low Risk,2026-04-19,9999-12-31,1,1
95,15676966,Capon,730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0,4,DIAMOND,722,36-50,Good,Growing (3-5 yrs),N,343.93,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,0,1,GOLD,231,25-35,Poor,Loyal (9-10 yrs),Y,4738.26,Active,1.4535,3,1,Low Risk,2026-04-19,9999-12-31,1,1
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,0,5,DIAMOND,488,36-50,Very Good,Loyal (9-10 yrs),Y,2637.91,Active,1.5919,3,1,Low Risk,2026-04-19,9999-12-31,1,1
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0,2,GOLD,965,25-35,Excellent,Mature (6-8 yrs),N,3519.94,Active,0.4921,5,0,Low Risk,2026-04-19,9999-12-31,1,1
99,15604348,Allard,710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0,4,SILVER,289,Under 25,Good,Mature (6-8 yrs),N,797.16,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
100,15633059,Fanucci,432,France,Male,34,9,0.0,2,0,0,6534.18,0,0,1,PLATINUM,449,25-35,Poor,Loyal (9-10 yrs),N,58.81,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
101,15808582,Fu,665,France,Female,40,6,0.0,1,1,1,161848.03,0,0,2,SILVER,651,36-50,Fair,Mature (6-8 yrs),N,971.09,Active,0.0,4,0,Low Risk,2026-04-19,9999-12-31,1,1
102,15743192,Hung,623,France,Female,44,6,0.0,2,0,0,167162.43,0,0,2,DIAMOND,520,36-50,Fair,Mature (6-8 yrs),N,1002.97,Active,0.0,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,0,4,DIAMOND,234,25-35,Good,Loyal (9-10 yrs),N,2031.22,Active,1.9698,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
104,15776605,Bradley,528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0,5,SILVER,458,36-50,Poor,Mature (6-8 yrs),N,423.76,Active,0.0,3,3,Medium Risk,2026-04-19,9999-12-31,1,1
105,15804919,Dunbabin,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,2,GOLD,915,51-65,Good,New (0-2 yrs),N,177.66,Churned,0.0,4,3,Medium Risk,2026-04-19,9999-12-31,1,1
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,1,3,GOLD,299,36-50,Fair,Growing (3-5 yrs),Y,2265.4,Churned,3.4557,5,1,Low Risk,2026-04-19,9999-12-31,1,1
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,0,4,GOLD,838,25-35,Fair,New (0-2 yrs),N,1788.83,Active,8.8456,4,1,Low Risk,2026-04-19,9999-12-31,1,1
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,0,5,PLATINUM,786,36-50,Very Good,New (0-2 yrs),N,2070.09,Active,2.6992,3,1,Low Risk,2026-04-19,9999-12-31,1,1
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,0,3,DIAMOND,509,25-35,Fair,Growing (3-5 yrs),Y,3361.17,Active,2.0886,1,4,Medium Risk,2026-04-19,9999-12-31,1,1
110,15744689,T'Ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,1,3,DIAMOND,328,25-35,Poor,Loyal (9-10 yrs),N,2751.73,Churned,0.9335,2,3,Medium Risk,2026-04-19,9999-12-31,1,1
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,0,4,SILVER,347,25-35,Good,Growing (3-5 yrs),N,1999.98,Active,1.4352,3,0,Low Risk,2026-04-19,9999-12-31,1,1
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,0,5,SILVER,534,36-50,Poor,Mature (6-8 yrs),Y,2351.72,Active,3.9681,3,4,Medium Risk,2026-04-19,9999-12-31,1,1
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,0,5,PLATINUM,709,36-50,Poor,New (0-2 yrs),Y,2178.36,Active,1.1549,1,5,High Risk,2026-04-19,9999-12-31,1,1
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,0,4,SILVER,749,36-50,Good,Loyal (9-10 yrs),Y,2330.76,Active,4.6181,3,1,Low Risk,2026-04-19,9999-12-31,1,1
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1,5,PLATINUM,541,25-35,Good,Loyal (9-10 yrs),Y,4001.22,Churned,1.5249,4,1,Low Risk,2026-04-19,9999-12-31,1,1
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,0,2,GOLD,736,25-35,Fair,Loyal (9-10 yrs),Y,3314.55,Active,1.7845,5,1,Low Risk,2026-04-19,9999-12-31,1,1
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,0,4,SILVER,529,36-50,Fair,Mature (6-8 yrs),Y,4051.12,Active,1.4516,2,4,Medium Risk,2026-04-19,9999-12-31,1,1
